n	T
533	31.10
534	30.19
535	30.88
536	30.50
537	30.37
538	29.26
539	28.65
540	32.23
541	29.85
542	31.98
543	29.45
544	30.42
545	33.59
546	31.37
547	31.30
548	31.26
549	30.39
550	31.41
551	29.14
552	28.58
553	30.68
554	31.60
555	31.58
556	33.00
557	32.06
558	32.08
559	30.24
560	32.38
561	33.18
562	33.65
563	30.75
564	32.89
565	31.07
566	29.50
567	31.42
568	33.50
569	33.54
570	27.57
571	31.79
572	30.64
573	30.70
574	29.22
575	32.65
576	30.63
577	29.18
578	31.02
579	31.97
580	30.52
581	29.76
582	32.14
583	31.49
584	31.50
585	31.61
586	32.47
587	32.99
588	29.73
589	30.47
590	31.46
591	31.07
592	31.12
593	31.47
594	31.77
595	32.08
596	29.97
597	31.32
598	29.59
599	29.67
600	31.18
601	31.24
602	32.37
603	32.75
604	31.03
605	32.47
606	32.18
607	32.99
608	32.54
609	33.43
610	32.51
611	29.89
612	30.47
613	28.01
614	31.23
615	32.30
616	31.69
617	29.44
618	30.21
619	29.96
620	30.89
621	30.34
622	30.73
623	31.85
624	32.34
625	28.94
626	31.89
627	30.83
628	32.29
629	29.51
630	30.14
631	31.48
632	29.38
633	30.87
634	32.93
635	32.19
636	32.15
637	31.73
638	30.28
639	32.30
640	30.45
641	31.67
642	29.83
643	30.87
644	31.09
645	28.71
646	30.72
647	31.08
648	32.37
649	30.05
650	29.51
651	31.22
652	30.17
653	29.86
654	32.14
655	30.48
656	30.93
657	29.11
658	33.11
659	29.30
660	33.56
661	30.36
662	30.85
663	29.98
664	34.95
665	29.20
666	29.38
667	27.95
668	31.67
669	32.62
670	30.31
671	34.75
672	32.90
673	31.61
674	32.12
675	30.09
676	31.54
677	29.97
678	32.61
679	31.19
680	33.66
681	31.14
682	28.78
683	29.46
684	27.25
685	29.97
686	30.15
687	32.60
688	31.54
689	31.48
690	31.75
691	32.33
692	32.66
693	32.61
694	31.85
695	30.18
696	31.61
697	29.26
698	33.51
699	31.32
700	30.72
701	32.83
702	30.77
703	32.26
704	31.81
705	30.74
706	29.64
707	32.77
708	30.08
709	29.43
710	30.53
711	31.32
712	30.17
713	31.62
714	29.78
715	31.91
716	31.97
717	30.06
718	31.43
719	30.91
720	31.66
721	32.05
722	33.97
723	33.36
724	30.93
725	29.34
726	28.86
727	32.93
728	33.56
729	30.03
730	30.14
731	32.85
732	28.68
733	33.78
734	30.36
735	30.89
736	30.25
737	31.67
738	31.57
739	33.19
740	32.00
741	26.65
742	31.14
743	29.82
744	30.09
745	30.91
746	30.16
747	30.64
748	30.66
749	32.29
750	30.79
751	30.71
752	29.90
753	32.04
754	29.96
755	30.44
756	31.14
757	29.86
758	31.44
759	29.22
760	35.45
761	30.80
762	31.42
763	32.04
764	30.52
765	33.43
766	31.85
767	29.48
768	31.02
769	29.84
770	32.99
771	30.83
772	29.71
773	31.76
774	33.11
775	33.39
776	31.61
777	34.66
778	31.20
779	31.79
780	31.80
781	28.37
782	30.96
783	32.24
784	30.10
785	28.37
786	30.99
787	30.21
788	31.16
789	32.52
790	30.74
791	32.90
792	29.59
793	32.08
794	33.42
795	30.62
796	33.46
797	30.35
798	30.23
799	32.98
800	30.56
801	28.79
802	29.87
803	33.07
804	31.06
805	32.12
806	29.38
807	29.61
808	30.92
809	30.47
810	32.15
811	31.15
812	28.98
813	32.29
814	31.01
815	31.39
816	27.95
817	29.62
818	30.08
819	30.72
820	32.20
821	30.50
822	31.60
823	29.08
824	29.48
825	30.81
826	32.41
827	30.83
828	29.43
829	30.15
830	32.69
831	31.73
832	30.27
833	30.50
834	30.63
835	29.52
836	30.58
837	30.77
838	32.52
839	29.88
840	28.48
841	32.93
842	30.08
843	30.02
844	32.39
845	31.34
846	30.03
847	32.07
848	34.06
849	32.96
850	31.47
851	32.24
852	30.41
853	32.42
854	30.80
855	30.96
856	32.87
857	32.91
858	30.32
859	33.58
860	29.19
861	31.49
862	29.77
863	30.48
864	33.29
865	30.73
866	32.10
867	30.84
868	30.15
869	31.18
870	31.83
871	30.27
872	33.51
873	28.90
874	32.65
875	31.34
876	33.33
877	31.16
878	31.25
879	28.98
880	33.30
881	29.08
882	29.46
883	32.71
884	28.85
885	32.98
886	26.16
887	31.97
888	31.47
889	31.60
890	28.45
891	30.40
892	32.11
893	32.45
894	29.35
895	31.83
896	29.65
897	31.83
898	29.63
899	30.89
900	30.79
901	31.45
902	30.78
903	31.23
904	28.81
905	31.11
906	33.21
907	31.71
908	30.00
909	30.88
910	30.08
911	30.27
912	33.72
913	32.31
914	34.25
915	31.10
916	31.42
917	33.41
918	31.14
919	30.73
920	32.61
921	30.73
922	29.22
923	30.87
924	32.42
925	28.19
926	31.07
927	30.65
928	30.07
929	32.44
930	28.28
931	30.11
932	32.89
933	32.35
934	32.18
935	26.48
936	31.22
937	28.15
938	30.48
939	28.95
940	30.47
941	32.39
942	29.94
943	28.75
944	30.67
945	29.87
946	32.14
947	28.37
948	30.48
949	33.40
950	30.27
951	28.43
952	30.60
953	28.87
954	29.79
955	31.29
956	32.11
957	27.44
958	29.94
959	28.40
960	31.69
961	31.26
962	29.99
963	30.43
964	30.79
965	33.79
966	31.02
967	31.27
968	32.58
969	31.07
970	31.39
971	32.05
972	31.55
973	31.89
974	30.55
975	32.84
976	33.05
977	31.81
978	31.86
979	29.00
980	31.16
981	31.22
982	31.44
983	33.83
984	30.27
985	31.46
986	31.08
987	30.38
988	32.69
989	29.79
990	29.84
991	29.10
992	29.65
993	32.60
994	30.14
995	31.34
996	31.71
997	31.22
998	30.64
999	29.21
1000	31.66
